                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99961,                 0.5758,                 1.1638,                0.96608,                0.98734,                0.98228,                0.66433,                 1.1603,                 0.5409,                 1.2609,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0059,                0.58272,                 1.1369,                0.98685,                      1,                0.99338,                0.68893,                 1.0957,                0.52576,                 1.2403,              0.0013268,              0.0013268,              0.0013268
                     37,                0.97625,                0.56888,                 1.1399,                0.97408,                0.98734,                0.98454,                0.66112,                 1.1176,                 0.5076,                 1.2826,               0.001307,               0.001307,               0.001307
                     38,                0.96576,                0.58322,                 1.1326,                0.96886,                0.98734,                 0.9867,                0.66614,                  1.102,                0.51026,                 1.2294,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0443,                0.59544,                 1.1603,                0.98257,                0.93671,                0.96682,                0.62012,                 1.1877,                 0.6919,                 1.3081,              0.0012674,              0.0012674,              0.0012674
                     40,                0.97831,                0.57678,                 1.1246,                0.96666,                0.98734,                0.98452,                0.66751,                 1.0795,                0.57527,                 1.2207,              0.0012476,              0.0012476,              0.0012476
                     41,                0.98453,                 0.5737,                 1.1235,                0.98451,                      1,                0.98687,                0.66081,                 1.1129,                0.55082,                 1.2403,              0.0012278,              0.0012278,              0.0012278
                     42,                0.93482,                0.53769,                 1.0963,                 0.9723,                0.98734,                0.97835,                0.64668,                 1.0938,                0.54937,                 1.2578,               0.001208,               0.001208,               0.001208
                     43,                0.93324,                0.53155,                 1.1043,                0.95781,                0.97468,                0.97609,                 0.6705,                 1.1122,                0.58614,                 1.2448,              0.0011882,              0.0011882,              0.0011882
                     44,                0.92824,                0.52452,                 1.1152,                0.97419,                0.98734,                 0.9795,                0.68311,                  1.096,                 0.5241,                 1.2365,              0.0011684,              0.0011684,              0.0011684
                     45,                0.98432,                0.56362,                 1.1142,                0.97293,                0.98734,                0.98201,                0.68757,                 1.0731,                0.50466,                 1.1839,              0.0011486,              0.0011486,              0.0011486
                     46,                0.96747,                0.52882,                 1.1104,                0.96295,                0.98688,                0.98587,                0.67593,                 1.1194,                0.51762,                  1.257,              0.0011288,              0.0011288,              0.0011288
                     47,                0.96454,                 0.5239,                 1.1043,                0.97402,                0.98734,                0.98584,                0.67351,                 1.1299,                0.51226,                 1.2535,               0.001109,               0.001109,               0.001109
                     48,                0.95646,                0.52132,                 1.1028,                0.96017,                0.98734,                0.97655,                0.66944,                 1.0751,                0.50949,                 1.2065,              0.0010892,              0.0010892,              0.0010892
                     49,                0.94786,                0.51454,                 1.1014,                0.98474,                0.93671,                 0.9665,                0.65471,                 1.1122,                0.53371,                 1.2214,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.9712,                0.52877,                 1.1385,                0.97372,                0.98734,                0.97878,                0.69185,                 1.0758,                0.49133,                 1.2168,              0.0010496,              0.0010496,              0.0010496
